Data		Horas Trabalhadas		Tipo Tarefa						Descrição da Tarefa Realizada
15/05			3			Codificar Módulo					Início da codificação Estrutura Principal
25/05			2			Codificar Módulo					Continuação da codificação Estrutura Principal
25/05			2			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação	
27/05			2			Codificar Módulo					Continuação da codificação Estrutura Principal
27/05			3			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
29/05			7			Codificar Módulo					Continuação da codificação Estrutura Principal
29/05			3			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
30/05			8			Codificar Módulo					Continuação da codificação Estrutura Principal
30/05			4			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
31/05			8			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
01/06			5			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
02/06			1			Realizar os testes					Realização dos testes e analise dos resultados
03/06			3			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
05/06			4			Diagnosticar e corrigir os problemas encontrados	Correção nos módulos de implementação
05/06			2			Realizar os testes					Realização dos testes e analise dos resultados
06/06			4			Codificar Módulo					Continuação da codificação Estrutura Principal
06/06			2			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação	
07/06			5			Diagnosticar e corrigir os problemas encontrados	Correção no módulo de implementação
07/06			3			Revisar Projeto						Correação de toda documentação e criação do módulo
